######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
2|apnic|20250224|81043|19830613|20250223|+1000
apnic|HK|asn|9237|1|20000523|allocated
apnic|IN|asn|9238|1|20000524|allocated
apnic|AU|asn|9239|2|20000524|allocated
apnic|FJ|asn|9241|1|20000525|allocated
apnic|HK|asn|9242|1|20001129|allocated
apnic|AU|asn|9243|1|20051121|allocated
apnic|TW|asn|9244|1|20000529|allocated
apnic|NZ|asn|9245|1|20000530|allocated
apnic|GU|asn|9246|1|20000530|allocated
apnic|SG|asn|9247|1|20000531|allocated
apnic|VU|asn|9249|1|20020925|allocated
apnic|AU|asn|9250|1|20000601|allocated
apnic|ID|asn|9251|1|20000601|allocated
apnic|AU|asn|9252|1|20000601|allocated
apnic|HK|asn|9253|1|20000602|allocated
apnic|PH|asn|9254|1|20080822|allocated
apnic|SG|asn|9255|1|20000602|allocated
apnic|AU|asn|9257|1|20000606|allocated
apnic|AU|asn|9258|1|20000606|allocated
apnic|HK|asn|9259|1|20000607|allocated
apnic|PK|asn|9260|1|20070201|allocated
apnic|AU|asn|9261|1|19980120|allocated
apnic|AU|asn|9262|1|19980122|allocated
apnic|HK|asn|9263|1|19980126|allocated
apnic|TW|asn|9264|1|19980202|allocated
apnic|AU|asn|9265|1|20220127|allocated
apnic|HK|asn|9266|1|19980205|allocated
apnic|TW|asn|9267|1|20220128|allocated
apnic|AU|asn|9268|1|19980206|allocated
apnic|HK|asn|9269|1|19980213|allocated
apnic|KR|asn|9270|8|19980122|allocated
apnic|AU|asn|9278|1|19980213|allocated
apnic|AU|asn|9279|1|19980224|allocated
apnic|AU|asn|9280|1|19980224|allocated
apnic|NZ|asn|9281|1|20041109|allocated
apnic|AU|asn|9282|1|19980225|allocated
